DOR CODE,Name,Rating Agency,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2014,2015,2017,2019,2020,2021,2023
175,Medfield,S&P,,,,,,,,,,,,,,,,,,,
180,Merrimac,S&P,,,,,,,,,,,,,,,,,AA+,AA+,AA+
181,Methuen,S&P,,,,,,,,,,,,,,,AA-,A,A,A,AA-
183,Middlefield,S&P,,,,,,,,,,,,,,,,,,AA,
184,Middleton,S&P,,,,,,,,,,,,,,,,,,AA+,AA+
185,Milford,S&P,,,,,,,,,,,,,,,,,,,
188,Millville,S&P,,,,,,,,,,,,,,,,,,,
190,Monroe,S&P,,,,,,,,,,,,,,,,,,,
191,Monson,S&P,,,,,,,,,,,,,,,AA,AA,AA,AA,AA
193,Monterey,S&P,,,,,,,,,,,,,,,,,,,
194,Montgomery,S&P,,,,,,,,,,,,,,,,AA+,AA+,,
195,Mount Washington,S&P,,,,,,,,,,,,,,,,,,,
196,Nahant,S&P,,,,,,,,,,,,,,,,,,,
197,Nantucket,S&P,,,,,,,,,,,,,,,,,,AA+,AA+
200,New Ashford,S&P,,,,,,,,,,,,,,,,,,,
202,New Braintree,S&P,,,,,,,,,,,,,,,,,,,
203,New Marlborough,S&P,,,,,,,,,,,,,,,,,,,
204,New Salem,S&P,,,,,,,,,,,,,,,,,,,
205,Newbury,S&P,,,,,,,,,,,,,,,,,AAA,AAA,AAA
207,Newton,S&P,,,,,,,,,,,,,,,AAA,AAA,AAA,AAA,AAA
213,North Reading,S&P,,,,,,,,,,,,,,,,,,,
215,Northborough,S&P,,,,,,,,,,,,,,,,,,,
217,Northfield,S&P,,,,,,,,,,,,,,,,,,,
222,Oakham,S&P,,,,,,,,,,,,,,,,,,,
223,Orange,S&P,,,,,,,,,,,,,,,,,,,A+
225,Otis,S&P,,,,,,,,,,,,,,,AA,AA,AA,AA,AA
226,Oxford,S&P,,,,,,,,,,,,,,,,,,,
227,Palmer,S&P,,,,,,,,,,,,,,,,,,,
228,Paxton,S&P,,,,,,,,,,,,,,,,,,,
232,Pepperell,S&P,,,,,,,,,,,,,,,,,,,
233,Peru,S&P,,,,,,,,,,,,,,,,,,,
235,Phillipston,S&P,,,,,,,,,,,,,,,,,,,
237,Plainfield,S&P,,,,,,,,,,,,,,,,,,,
238,Plainville,S&P,,,,,,,,,,,,,,,,,,,
241,Princeton,S&P,,,,,,,,,,,,,,,,,,,
245,Raynham,S&P,,,,,,,,,,,,,,,,,AA+,AA+,AA+
247,Rehoboth,S&P,,,,,,,,,,,,,,,,,,,
253,Rowe,S&P,,,,,,,,,,,,,,,,,,,
254,Rowley,S&P,,,,,,,,,,,,,,,AA+,AA+,AA+,AA+,AA+
255,Royalston,S&P,,,,,,,,,,,,,,,,,,,
256,Russell,S&P,,,,,,,,,,,,,,,,,,,
257,Rutland,S&P,,,,,,,,,,,,,,,AA,AA,AA,AA,AA
259,Salisbury,S&P,,,,,,,,,,,,,,,AA,AA,AA,AA,AA
260,Sandisfield,S&P,,,,,,,,,,,,,,,,,,,
262,Saugus,S&P,,,,,,,,,,,,,,,AA+,AA+,AA+,AA+,AA+
263,Savoy,S&P,,,,,,,,,,,,,,,,,,,
267,Sheffield,S&P,,,,,,,,,,,,,,,,,,,
268,Shelburne,S&P,,,,,,,,,,,,,,,,,,,
271,Shrewsbury,S&P,,,,,,,,,,,,,,,,,AAA,AAA,AAA
272,Shutesbury,S&P,,,,,,,,,,,,,,,,,,,
273,Somerset,S&P,,,,,,,,,,,,,,,,,,,
276,Southampton,S&P,,,,,,,,,,,,,,,,AAA,AA-,AA-,AA-
279,Southwick,S&P,,,,,,,,,,,,,,,,,,,
280,Spencer,S&P,,,,,,,,,,,,,,,,,,,
282,Sterling,S&P,,,,,,,,,,,,,,,,,,,AA+
284,Stoneham,S&P,,,,,,,,,,,,,,,,,,,AA+
285,Stoughton,S&P,,,,,,,,,,,,,,,,AA,AA,AA,AA
291,Swampscott,S&P,,,,,,,,,,,,,,,,AA+,AA+,AA+,AA+
294,Templeton,S&P,,,,,,,,,,,,,,,,,,,
297,Tolland,S&P,,,,,,,,,,,,,,,,,,,
298,Topsfield,S&P,,,,,,,,,,,,,,,,AAA,AAA,AAA,AAA
299,Townsend,S&P,,,,,,,,,,,,,,,,,,,
301,Tyngsborough,S&P,,,,,,,,,,,,,,,,AA+,AA+,AA+,AA+
302,Tyringham,S&P,,,,,,,,,,,,,,,,,,,
304,Uxbridge,S&P,,,,,,,,,,,,,,,AA+,AA+,AA,AA,AA
305,Wakefield,S&P,,,,,,,,,,,,,,,,AAA,AAA,AAA,AAA
306,Wales,S&P,,,,,,,,,,,,,,,,,,,
307,Walpole,S&P,,,,,,,,,,,,,,,AA+,AA+,AA+,AA+,AA+
310,Wareham,S&P,,,,,,,,,,,,,,,,AA+,AA+,AA+,AA+
312,Warwick,S&P,,,,,,,,,,,,,,,,,,,
313,Washington,S&P,,,,,,,,,,,,,,,,,,,
315,Wayland,S&P,,,,,,,,,,,,,,,,,,,
316,Webster,S&P,,,,,,,,,,,,,,,,,,,AA
319,Wendell,S&P,,,,,,,,,,,,,,,,,,,
324,West Newbury,S&P,,,,,,,,,,,,,,,,AA+,AA+,AA+,AAA
331,Westhampton,S&P,,,,,,,,,,,,,,,,,,AA+,AA+
334,Westport,S&P,,,,,,,,,,,,,,,,,,,
336,Weymouth,S&P,,,,,,,,,,,,,,,AA,AA,AA,AA,AA
337,Whately,S&P,,,,,,,,,,,,,,,,,,,
339,Wilbraham,S&P,,,,,,,,,,,,,,,AA+,AA+,AA+,AA+,AA+
341,Williamstown,S&P,,,,,,,,,,,,,,,,,,,
345,Windsor,S&P,,,,,,,,,,,,,,,,,,,
347,Woburn,S&P,,,,,,,,,,,,,,,,AA,AAA,AAA,AAA
349,Worthington,S&P,,,,,,,,,,,,,,,,,,,
